time,people
2024-11-22 18:52:59,0
2024-11-22 18:52:59,0
2024-11-22 18:52:59,0
2024-11-22 18:52:59,0
2024-11-22 18:52:59,0
2024-11-22 18:53:00,0
2024-11-22 18:53:00,0
2024-11-22 18:53:00,0
2024-11-22 18:53:00,0
2024-11-22 18:53:00,0
2024-11-22 18:53:00,0
2024-11-22 18:53:01,0
2024-11-22 18:53:01,0
2024-11-22 18:53:01,0
2024-11-22 18:53:01,0
2024-11-22 18:53:01,0
2024-11-22 18:53:02,0
2024-11-22 18:53:03,0
2024-11-22 18:53:04,0
2024-11-22 18:53:04,1
2024-11-22 18:53:04,1
2024-11-22 18:53:05,1
2024-11-22 18:53:05,1
2024-11-22 18:53:05,1
2024-11-22 18:53:06,1
2024-11-22 18:53:06,1
2024-11-22 18:53:07,1
2024-11-22 18:53:07,1
2024-11-22 18:53:07,1
2024-11-22 18:53:08,1
2024-11-22 18:53:08,1
2024-11-22 18:53:08,1
2024-11-22 18:53:08,1
2024-11-22 18:53:08,1
2024-11-22 18:53:08,1
2024-11-22 18:53:09,1
2024-11-22 18:53:09,1
2024-11-22 18:53:09,1
2024-11-22 18:53:09,1
2024-11-22 18:53:09,2
2024-11-22 18:53:10,2
2024-11-22 18:53:10,2
2024-11-22 18:53:10,2
2024-11-22 18:53:10,2
2024-11-22 18:53:11,2
2024-11-22 18:53:11,1
2024-11-22 18:53:11,2
2024-11-22 18:53:11,2
2024-11-22 18:53:11,2
2024-11-22 18:53:11,2
2024-11-22 18:53:12,0
2024-11-22 18:53:12,1
2024-11-22 18:53:12,0
2024-11-22 18:53:12,0
2024-11-22 18:53:12,0
2024-11-22 18:53:13,1
2024-11-22 18:53:13,0
2024-11-22 18:53:13,0
2024-11-22 18:53:13,0
2024-11-22 18:53:13,0
2024-11-22 18:53:13,0
2024-11-22 18:53:14,0
2024-11-22 18:53:14,0
2024-11-22 18:53:14,0
2024-11-22 18:53:15,0
2024-11-22 18:53:15,0
2024-11-22 18:53:15,0
2024-11-22 18:53:15,0
2024-11-22 18:53:16,0
2024-11-22 18:53:16,0
2024-11-22 18:53:16,0
2024-11-22 18:53:16,0
2024-11-22 18:53:16,0
2024-11-22 18:53:17,0
2024-11-22 18:53:17,0
2024-11-22 18:53:17,0
2024-11-22 18:53:17,0
2024-11-22 18:53:17,0
2024-11-22 18:53:18,0
2024-11-22 18:53:18,0
2024-11-22 18:53:18,0
2024-11-22 18:53:18,0
2024-11-22 18:53:18,0
2024-11-22 18:53:18,0
2024-11-22 18:53:18,0
2024-11-22 18:53:19,0
2024-11-22 18:53:19,0
2024-11-22 18:53:19,0
2024-11-22 18:53:19,0
2024-11-22 18:53:19,0
2024-11-22 18:53:19,0
2024-11-22 18:53:20,0
2024-11-22 18:53:20,0
2024-11-22 18:53:20,0
2024-11-22 18:53:20,0
2024-11-22 18:53:20,0
2024-11-22 18:53:21,0
2024-11-22 18:53:21,0
2024-11-22 18:53:21,0
2024-11-22 18:53:21,0
2024-11-22 18:53:21,0
2024-11-22 18:53:22,0
2024-11-22 18:53:22,0
2024-11-22 18:53:22,0
2024-11-22 18:53:22,0
2024-11-22 18:53:22,0
2024-11-22 18:53:23,0
2024-11-22 18:53:23,0
2024-11-22 18:53:23,0
2024-11-22 18:53:23,0
2024-11-22 18:53:23,0
2024-11-22 18:53:24,0
2024-11-22 18:53:24,0
2024-11-22 18:53:24,0
2024-11-22 18:53:24,2
2024-11-22 18:53:24,1
2024-11-22 18:53:24,1
2024-11-22 18:53:25,1
2024-11-22 18:53:25,1
2024-11-22 18:53:25,1
2024-11-22 18:53:25,1
2024-11-22 18:53:25,1
2024-11-22 18:53:26,1
2024-11-22 18:53:26,1
2024-11-22 18:53:26,1
2024-11-22 18:53:26,1
2024-11-22 18:53:26,1
2024-11-22 18:53:27,0
2024-11-22 18:53:27,0
